Name,Team,Position,Total RAA,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,/144
장성우,KT,C,2.27,34,31,244.2,10,0,0.368,30,7,18.9,356,10.4,29,1,0,1,7,0,0,0,-0.64,1.11,0.87,0.86,,8.38
김준태,KT,C,0.49,10,3,36.0,1,0,0.250,5,1,16.7,77,7.8,5,0,0,0,1,0,0,0,0.00,0.16,-0.47,0.80,,5.89
조대현,KT,C,0.15,7,1,22.2,1,0,0.397,0,0,,36,0.0,0,0,0,0,0,0,0,0,0.00,0.10,,0.05,,3.12
강백호,KT,C,-2.89,11,7,66.0,7,1,1.091,19,1,5.0,103,19.4,18,1,0,1,1,0,0,0,-0.08,-0.70,-0.40,-1.71,,-9.90
