Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,3.66,534,2015,2010,1778,230,472,84,4,64,756,267,20,10,196,28,7,407,52,1,12,0.265,0.346,0.425,0.771,0.114,100.4
LG,1.68,43,185,183,158,26,50,8,1,10,90,29,4,1,22,2,2,36,3,0,3,0.316,0.400,0.570,0.970,0.142,159.6
KT,1.59,72,221,221,188,25,52,3,0,11,88,29,3,0,26,6,1,56,12,0,1,0.277,0.380,0.468,0.848,0.113,129.2
삼성,1.24,56,223,221,190,21,59,11,1,5,87,26,1,0,31,2,3,30,6,0,0,0.311,0.413,0.458,0.871,0.095,123.2
KIA,0.77,45,178,178,159,33,52,9,0,5,76,29,5,0,17,2,0,33,6,0,0,0.327,0.399,0.478,0.877,0.185,132.5
NC,0.73,36,147,147,126,23,33,8,0,8,65,27,0,1,14,6,0,42,2,0,1,0.262,0.361,0.516,0.877,0.157,125.3
두산,0.52,48,182,182,158,23,38,10,0,8,72,31,2,2,20,3,0,39,10,0,1,0.241,0.335,0.456,0.791,0.126,108.5
롯데,-0.15,53,196,196,181,19,49,10,2,3,72,18,1,0,14,0,0,41,1,0,1,0.271,0.321,0.398,0.719,0.097,82.5
SSG,-0.20,50,170,170,161,14,41,5,0,6,64,22,1,4,9,0,0,39,3,0,0,0.255,0.294,0.398,0.692,0.082,59.5
한화,-0.93,72,293,293,265,28,60,13,0,4,85,33,3,1,22,4,0,51,4,0,2,0.226,0.294,0.321,0.615,0.096,66.5
키움,-1.59,59,220,219,192,18,38,7,0,4,57,23,0,1,21,3,1,40,5,1,3,0.198,0.283,0.297,0.580,0.082,42.1
