Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
리그 전체,9.09,657,1968,1944,1732,276,466,72,13,32,660,215,69,24,179,24,4,361,37,19,13,0.269,0.343,0.381,0.724,0.142,91.9
두산,2.53,84,240,239,229,38,75,13,4,11,129,40,6,5,8,0,1,65,4,0,3,0.328,0.346,0.563,0.909,0.159,133.3
NC,2.35,60,218,212,180,32,52,7,1,1,64,17,19,3,25,8,3,41,2,3,2,0.289,0.395,0.356,0.751,0.151,107.1
키움,2.11,39,159,158,145,26,40,4,1,7,67,24,8,1,11,2,0,16,1,1,0,0.276,0.335,0.462,0.797,0.165,114.0
KIA,1.81,93,269,266,223,39,66,14,1,5,97,31,6,2,36,6,0,36,9,2,1,0.296,0.406,0.435,0.841,0.147,121.5
SSG,0.58,75,164,160,142,19,29,4,0,0,33,9,5,3,14,4,0,27,2,4,0,0.204,0.294,0.232,0.526,0.119,50.6
LG,0.49,48,150,146,125,23,32,5,1,0,39,17,12,2,20,0,0,17,3,4,1,0.256,0.356,0.312,0.668,0.158,82.1
KT,0.17,68,223,222,208,39,64,8,3,1,81,19,4,0,12,1,0,40,6,1,1,0.308,0.347,0.389,0.736,0.176,94.3
삼성,0.04,75,215,213,193,23,45,6,0,2,57,25,7,3,15,2,0,46,1,2,3,0.233,0.291,0.295,0.586,0.108,54.2
한화,-0.47,54,189,187,163,26,37,7,2,3,57,21,2,4,23,0,0,38,5,2,1,0.227,0.321,0.350,0.671,0.139,72.8
롯데,-0.53,61,141,141,124,11,26,4,0,2,36,12,0,1,15,1,0,35,4,0,1,0.210,0.298,0.290,0.588,0.078,54.4
