0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Rank,Name,Team,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
1,김영웅,24  SS,1.89,40,173,172,153,24,46,8,1,9,83,26,3,0,18,1,0,50,2,1,0,0.301,0.378,0.542,0.920,0.038,125.8,1.89
2,구자욱,24  LF,1.71,39,179,178,158,26,49,10,0,8,83,33,3,2,13,6,1,26,1,0,2,0.310,0.380,0.525,0.905,0.046,132.0,1.71
3,맥키넌,24  1B,1.56,36,162,160,138,17,50,7,0,3,66,19,1,0,24,0,3,15,3,0,0,0.362,0.457,0.478,0.935,0.062,143.6,1.56
4,김지찬,24  CF,1.30,41,169,165,143,24,40,7,0,1,50,13,12,0,18,4,0,11,1,4,0,0.280,0.376,0.350,0.726,0.002,98.5,1.30
5,이성규,24  CF,1.12,38,89,86,68,12,16,3,0,5,34,16,2,0,10,6,0,27,1,3,2,0.235,0.372,0.500,0.872,0.025,115.5,1.12
6,이재현,24  SS,1.10,24,108,108,94,15,26,7,0,3,42,13,0,0,13,0,0,23,1,0,1,0.277,0.361,0.447,0.808,0.008,103.0,1.10
7,김헌곤,24  RF,0.44,37,78,77,70,11,23,3,0,2,32,9,1,1,6,1,0,15,1,1,0,0.329,0.390,0.457,0.847,0.032,121.3,0.44
8,강민호,24  C,0.27,41,134,133,119,14,31,2,0,2,39,13,0,0,12,2,1,13,8,0,1,0.261,0.336,0.328,0.664,-0.027,76.4,0.27
9,김재혁,24  LF,0.27,12,34,34,30,5,7,2,1,0,11,6,2,1,2,0,0,11,0,0,2,0.233,0.265,0.367,0.632,-0.025,77.6,0.27
10,류지혁,24  2B,0.23,23,81,81,71,9,20,1,0,1,24,12,3,2,8,1,0,14,0,0,1,0.282,0.358,0.338,0.696,-0.011,88.6,0.23
11,전병우,24  3B,0.20,4,12,12,10,1,4,2,0,0,6,1,0,0,1,1,0,4,0,0,0,0.400,0.500,0.600,1.100,0.136,200.1,0.20
12,류승민,24  LF,0.13,5,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,0.138,201.8,0.13
13,김재상,24  2B,0.08,24,68,67,64,10,15,3,0,1,21,9,2,0,2,0,0,16,0,1,1,0.234,0.254,0.328,0.582,-0.091,28.4,0.08
14,안주형,24  2B,0.07,9,34,33,30,4,8,2,0,0,10,1,2,1,3,0,0,5,0,1,0,0.267,0.333,0.333,0.666,0.014,107.4,0.07
15,김태훈,24  P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00
15,김대우,24  P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00
15,육선엽,24  P,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00
18,이병헌,24  C,0.00,21,41,41,35,2,10,1,0,0,11,3,0,0,5,1,0,10,0,0,0,0.286,0.390,0.314,0.704,-0.012,88.0,0.00
19,김동엽,24  LF,0.00,6,14,13,11,1,2,1,0,0,3,2,0,0,1,1,1,5,0,0,1,0.182,0.286,0.273,0.559,-0.040,69.1,0.00
20,김호진,24  2B,-0.06,13,25,25,22,0,2,0,0,0,2,3,0,0,1,1,0,8,1,0,1,0.091,0.160,0.091,0.251,-0.158,-23.9,-0.06
21,공민규,24  1B,-0.06,8,14,14,11,1,1,0,0,1,4,2,0,0,1,2,0,7,1,0,0,0.091,0.286,0.364,0.650,-0.034,70.9,-0.06
22,김재성,24  C,-0.08,10,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.200,0.304,0.250,0.554,-0.037,68.4,-0.08
23,김성윤,24  RF,-0.11,27,75,72,61,13,13,2,0,0,15,6,3,1,8,1,0,15,1,3,2,0.213,0.306,0.246,0.552,-0.069,46.8,-0.11
24,김현준,24  CF,-0.13,27,77,76,67,9,11,6,1,0,19,6,0,0,6,1,0,21,4,1,2,0.164,0.237,0.284,0.521,-0.097,23.8,-0.13
25,오재일,24  1B,-0.26,12,47,47,41,3,8,4,1,1,17,5,0,0,6,0,0,8,2,0,0,0.195,0.298,0.415,0.713,-0.037,68.5,-0.26
26,김동진,24  2B,-0.28,6,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.000,0.143,0.000,0.143,-0.223,-73.2,-0.28
27,강한울,24  3B,-0.35,18,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.248,-69.2,-0.35
