,Rank,Name,Team,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA, Err RAA,DP RAA,Bt RAA,Total RAA,/144
2,1,맥키넌,24  1B,5.12,25,25,218.0,8,0,160,18,1,72,87.5,99.4,7.35,5.57,0.04,,-0.48,5.12,20.50
3,2,이재현,24  SS,4.12,22,21,182.0,5,0,37,42,2,32,78.1,97.5,3.91,6.08,-0.35,-1.61,,4.12,24.72
4,3,강한울,24  3B,3.65,9,3,41.0,3,1,1,14,0,12,66.7,100.0,3.29,3.12,0.15,0.38,,3.65,29.18
5,4,김영웅,24  SS,3.23,19,19,171.2,13,0,40,51,3,71,77.5,96.8,4.77,1.16,0.11,1.96,,3.23,11.61
6,5,김재상,24  2B,2.56,22,19,151.1,4,0,32,44,1,39,87.2,98.7,4.52,1.71,0.56,0.28,,2.56,15.35
7,6,김호진,24  3B,2.24,9,5,43.2,2,0,3,9,0,9,77.8,100.0,2.47,1.77,0.16,0.28,0.03,2.24,24.83
8,7,안주형,24  3B,1.32,2,0,3.0,0,0,1,2,0,3,100.0,100.0,9.00,1.31,0.01,,,1.32,21.07
9,8,김재혁,24  1B,0.78,4,4,31.0,0,0,21,4,0,19,100.0,100.0,7.26,0.71,0.08,,-0.01,0.78,9.31
10,9,류지혁,24  2B,0.23,17,13,110.1,4,0,14,21,1,18,72.2,97.2,2.85,-0.18,0.41,0.00,,0.23,1.46
11,10,공민규,24  1B,0.15,2,0,5.0,1,0,5,2,0,7,85.7,100.0,12.60,0.14,0.01,,,0.15,2.68
12,11,김지찬,24  2B,0.03,6,0,9.0,0,0,0,0,0,0,,,0.00,0.00,0.03,,,0.03,0.10
13,12,김재상,24  3B,0.00,1,0,1.0,0,0,0,0,0,0,,,0.00,,0.00,,,0.00,0.02
14,13,강한울,24  1B,0.00,1,0,1.0,0,0,1,0,0,1,100.0,100.0,9.00,,0.00,,,0.00,0.02
15,14,김호진,24  2B,0.00,1,0,2.0,0,0,1,0,0,1,100.0,100.0,4.50,-0.01,0.01,,,0.00,-0.01
16,15,김호진,24  SS,-0.05,4,1,14.0,0,0,1,0,0,1,100.0,100.0,0.64,-0.10,0.05,,,-0.05,-0.53
17,16,이성규,24  1B,-0.07,13,2,40.0,2,0,29,2,1,12,75.0,96.9,6.98,0.33,-0.40,,,-0.07,-0.28
18,17,전병우,24  3B,-0.18,2,2,13.0,2,0,1,0,0,0,,100.0,0.69,-0.23,0.05,,,-0.18,-6.44
19,18,강한울,24  SS,-0.34,3,0,3.0,1,0,1,0,0,1,0.0,100.0,3.00,-0.01,0.01,-0.34,,-0.34,-2.71
20,19,김재성,24  1B,-0.35,1,1,5.0,1,0,3,0,1,4,50.0,75.0,5.40,-0.36,0.01,,,-0.35,-5.00
21,20,김영웅,24  3B,-0.42,21,19,163.0,5,0,14,22,2,10,30.0,94.7,1.99,-0.34,0.08,-0.19,0.03,-0.42,-1.50
22,21,김동진,24  2B,-0.52,2,1,6.0,0,0,1,1,0,1,100.0,100.0,3.00,-0.26,0.02,-0.28,,-0.52,-12.53
23,22,공민규,24  3B,-0.54,6,3,25.0,1,0,1,6,1,5,60.0,87.5,2.52,-0.63,0.09,,,-0.54,-9.75
24,23,류지혁,24  1B,-0.63,4,1,10.0,1,0,3,0,0,1,0.0,100.0,2.70,-0.66,0.02,,,-0.63,-3.97
25,24,안주형,24  SS,-0.74,1,0,2.0,0,0,0,1,0,0,,100.0,4.50,-0.74,0.01,,,-0.74,-11.80
26,25,류지혁,24  3B,-0.85,5,4,34.1,0,0,5,5,0,3,100.0,100.0,2.62,-0.44,0.12,-0.28,-0.25,-0.85,-5.34
27,26,김동진,24  3B,-1.01,4,1,13.0,1,0,1,2,0,0,,100.0,2.08,-0.86,0.05,-0.19,,-1.01,-24.16
28,27,오재일,24  1B,-1.03,8,8,62.2,6,0,60,4,0,52,88.5,100.0,9.19,-1.18,0.15,,,-1.03,-12.32
29,28,맥키넌,24  3B,-2.48,5,4,35.2,5,0,3,3,1,6,0.0,85.7,1.51,-2.14,-0.37,,0.03,-2.48,-9.93
30,29,강한울,24  2B,-2.64,8,0,25.0,0,0,3,6,1,6,83.3,90.0,3.24,-2.23,-0.41,,,-2.64,-21.11
31,30,안주형,24  2B,-2.87,9,8,69.0,11,0,23,25,2,29,55.2,96.0,6.26,-2.63,-0.24,0.00,,-2.87,-45.98
