Rank,Name,Position,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,Team
1,김기연,C,17,10,108.0,6,0,0.500,4,2,33.3,168,3.6,2,2,0,0,2,0,0,0,0.25,-0.51,0.19,0.72,,0.66,5.28,Doosan
2,안승한,C,2,1,9.1,0,0,0.000,1,0,0.0,17,5.9,1,0,0,0,0,0,0,0,0.00,0.04,0.00,0.54,,0.58,20.79,Doosan
3,장승현,C,9,7,58.0,4,0,0.621,3,0,0.0,88,3.4,3,0,0,0,0,0,0,0,-0.15,0.26,0.00,0.37,,0.55,8.73,Doosan
4,윤준호,C,1,0,2.0,1,0,4.500,0,0,,3,0.0,0,0,0,0,0,0,0,0,0.00,0.01,,-0.51,,-0.50,-71.61,Doosan
5,양의지,C,25,25,202.2,12,2,0.622,16,1,5.9,315,5.4,14,2,0,1,1,0,0,0,-0.12,0.42,-0.19,-1.12,,-0.98,-3.72,Doosan
